os,browser,sample,pcap_status,hash_type,hash,count,rank_within_sample_type,total_rows_for_type_in_sample,percent_within_type,unique_count_for_type_in_sample,confidence,confidence_basis,source_note
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Chrome 148.0.0.0/observed UA,Windows10 Chrome cleaned,cleaned baseline,JA4,t13d1516h2_8daaf6152771_d8a2da3f94cd,216,1,238,90.76,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Chrome 148.0.0.0/observed UA,Windows10 Chrome cleaned,cleaned baseline,JA4,t13d1517h2_8daaf6152771_b6f405a00624,22,2,238,9.24,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Chrome 148.0.0.0/observed UA,Windows10 Chrome cleaned,cleaned baseline,JA4T,64240_2-1-3-1-1-4_1460_8,247,1,247,100.00,1,high,OS/network-stack fingerprint; identical across all browsers for this OS in corpus,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Chrome 148.0.0.0/observed UA,Windows10 Chrome cleaned,cleaned baseline,JA4H,ge11cn07enus_bc8d2ed93139_68c55cdc265d_7d13b710a8df,1,1,1,100.00,1,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Edge 148.0.3967.96,Windows10 Edge cleaned,cleaned baseline,JA4,t13d1516h2_8daaf6152771_d8a2da3f94cd,102,1,106,96.23,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Edge 148.0.3967.96,Windows10 Edge cleaned,cleaned baseline,JA4,t13d1517h2_8daaf6152771_b6f405a00624,4,2,106,3.77,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Edge 148.0.3967.96,Windows10 Edge cleaned,cleaned baseline,JA4T,64240_2-1-3-1-1-4_1460_8,119,1,119,100.00,1,high,OS/network-stack fingerprint; identical across all browsers for this OS in corpus,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Edge 148.0.3967.96,Windows10 Edge cleaned,cleaned baseline,JA4H,ge11nn07enus_bc8d2ed93139_000000000000_000000000000,1,1,1,100.00,1,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Firefox 151.0/151.0.2 observed,Windows10 Firefox cleaned,cleaned baseline,JA4,t13d1516h2_8daaf6152771_d8a2da3f94cd,133,1,182,73.08,4,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Firefox 151.0/151.0.2 observed,Windows10 Firefox cleaned,cleaned baseline,JA4,t13d1617h2_86a278354501_3cbfd9057e0d,45,2,182,24.73,4,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Firefox 151.0/151.0.2 observed,Windows10 Firefox cleaned,cleaned baseline,JA4,t13d1517h2_8daaf6152771_b6f405a00624,3,3,182,1.65,4,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Firefox 151.0/151.0.2 observed,Windows10 Firefox cleaned,cleaned baseline,JA4,t12d1311h2_e7a2acfcf94e_810e2f290f6f,1,4,182,0.55,4,medium,exact JA4 extraction but rare singleton/low-count value,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Firefox 151.0/151.0.2 observed,Windows10 Firefox cleaned,cleaned baseline,JA4T,64240_2-1-3-1-1-4_1460_8,184,1,184,100.00,1,high,OS/network-stack fingerprint; identical across all browsers for this OS in corpus,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 10 Enterprise 10.0.16299 build 16299 64-bit,Firefox 151.0/151.0.2 observed,Windows10 Firefox cleaned,cleaned baseline,JA4H,ge11nn07enus_4e2b700e2ae5_000000000000_000000000000,2,1,2,100.00,1,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
