application,library,device,os,user_agent_string,certificate_authority,ja4_fingerprint,ja4_fingerprint_string,ja4s_fingerprint,ja4h_fingerprint,ja4x_fingerprint,ja4t_fingerprint
Nmap,,,,,,,,,,,1024_2_1460_00
,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,t13d1517h2_8daaf6152771_b0da82dd1658,"t13d1517h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,0029,002b,002d,0033,4469,fe0d,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11cn20enus_60ca1bd65281_ac95b44401d9_8df6a44f726c,,
,Python,,,,,t13i181000_85036bcba153_d41ae481755e,,,,,
Chromium Browser,,,,,,t13d1516h2_8daaf6152771_02713d6af862,,,,,
Chromium Browser,,,,,,q13d0312h3_55b375c5d22e_06cda9e17597,,,,,
Chromium Browser,,,,,,t13d1517h2_8daaf6152771_b0da82dd1658,,,,,
Chromium Browser,,,,,,t13d1517h2_8daaf6152771_b1ff8ab2d16f,,,,,
,,,Windows 10,,,,,,,,64240_2-1-3-1-1-4_1460_8
,,,WSL Ubuntu 22.04,,,,,,,,64240_2-4-8-1-3_1460_7
,,,AWS Linux 2,,,,,,,,62727_2-4-8-1-3_8961_7
,,,Ubuntu 22.04,,,,,,,,65535_2-4-8-1-3_1460_8
,,,Mac OSX/iPhone,,,,,,,,65535_2-1-3-1-1-8-4-0-0_1460_6
Zmap,,,,,,,,,,,65535_00_00_00
,GoLang,,,,,t13d190900_9dc949149365_97f8aa674fd9,,,,,
Sliver Agent,,,,,,t13d190900_9dc949149365_97f8aa674fd9,,t130200_1301_a56c5b993250,,,
Sliver Agent,,,,,,t13d190900_9dc949149365_97f8aa674fd9,,t130200_1301_a56c5b993250,,,
,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,t13d1516h2_8daaf6152771_02713d6af862,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,002b,002d,0033,4469,fe0d,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11cn21enus_9022c49255fb_ac95b44401d9_8df6a44f726c,,
